"","country","treatment","mean_value_gini","lower_ninety_percent_ci_gini","upper_ninety_percent_ci_gini","mean_value_theil","lower_ninety_percent_ci_theil","upper_ninety_percent_ci_theil"
"1",1,"anarchy",0.40705673499852,0.390766200765724,0.419437481056863,0.272721645851207,0.251552229390846,0.289546678305282
"2",1,"tax",0.329328045010574,0.317124243640418,0.343255047989229,0.18300274186024,0.168696647617126,0.194283860813083
"3",1,"ubi",0.371871992128455,0.3523461937844,0.385022586737871,0.228357755148837,0.207029678413614,0.244057975420237
"4",2,"anarchy",0.421706075975998,0.400484707323223,0.433767744422772,0.295844520151503,0.264738912345156,0.313882238677036
"5",2,"tax",0.35328642204592,0.342610847654095,0.361631652888576,0.207743948854256,0.194898805672992,0.218849779601453
"6",2,"ubi",0.352597881667916,0.323928704111085,0.377511109443829,0.206672668759646,0.176047062353545,0.235403372711786
"7",3,"anarchy",0.430569138676301,0.417395005847053,0.44738725614225,0.308091453632031,0.292689210674255,0.333203438404517
"8",3,"tax",0.331551344677954,0.317137988030497,0.353431095145025,0.187594070379886,0.170457452133611,0.209573867285288
"9",3,"ubi",0.366196432389976,0.352287737315239,0.381021622663156,0.22287395783872,0.207302978479742,0.239831781943409
"10",4,"anarchy",0.416958369602088,0.404731577092303,0.428459622114312,0.289434218999386,0.274813324400718,0.304308803599574
"11",4,"tax",0.324895588024174,0.311359814146796,0.335215075025659,0.176730877569212,0.165704907212834,0.187786640434091
"12",4,"ubi",0.378250103397073,0.365382516567941,0.393517674434301,0.235968583061042,0.220736551367921,0.254943853526915
