"","country","treatment","mean_value_gini_post_tax","lower_ninety_percent_ci_gini_post_tax","upper_ninety_percent_ci_gini_post_tax","mean_value_gini_pre","lower_ninety_percent_ci_gini_pre","upper_ninety_percent_ci_gini_pre","mean_value_theil_pre","lower_ninety_percent_ci_theil_pre","upper_ninety_percent_ci_theil_pre","mean_value_theil_post_tax","lower_ninety_percent_ci_theil_post_tax","upper_ninety_percent_ci_theil_post_tax"
"1",1,"anarchy",0.422299584815002,0.403379648782515,0.435414374945856,0.422299584815002,0.403379648782515,0.435414374945856,0.30021926884753,0.27484103295107,0.319250389560051,0.30021926884753,0.27484103295107,0.319250389560051
"2",1,"tax",0.342145216748359,0.32586205673439,0.3540642628857,0.422827399154418,0.405994102747456,0.435329137823748,0.302428647545326,0.277902013670173,0.318406969612287,0.200654552582419,0.182451194669433,0.211695328185628
"3",1,"ubi",0.378933091697412,0.355724130765328,0.40065439827337,0.42734051300142,0.401923126729182,0.449261061181773,0.310547984310392,0.272954278343775,0.347338971229355,0.244053569546486,0.214952400399565,0.274239453842871
"4",1,"effort",0.326393774191448,0.31245125858291,0.338765760818566,0.428211372469023,0.413237127505125,0.449677385353419,0.309589788565105,0.288814035237657,0.340898716033963,0.186206155225862,0.17104244841907,0.200805742409722
"5",1,"luck",0.326583287855208,0.313104696399302,0.339947995401145,0.403848700870974,0.375408909539949,0.432781665614016,0.276221047592877,0.238798295995877,0.31509466163756,0.184704416453949,0.170742842131223,0.199505381053834
"6",2,"anarchy",0.423345860348612,0.406570498532579,0.440567787579184,0.423345860348612,0.406570498532579,0.440567787579184,0.303743380470834,0.280486951007846,0.32929211238086,0.303743380470834,0.280486951007846,0.32929211238086
"7",2,"tax",0.351955091277805,0.337360460933735,0.364692520855383,0.435161707279482,0.419304965583651,0.44769151614249,0.321049869640915,0.298194327249623,0.341227670558274,0.210774491312245,0.19531056807376,0.225902265398017
"8",2,"ubi",0.364711124063593,0.347974641930801,0.379892124641366,0.412919671044726,0.393703726465453,0.429034506090427,0.28832447772597,0.263397177235742,0.311200461590003,0.225121614816337,0.206297999548322,0.243705413367526
"9",2,"effort",0.366472796602363,0.358211314806332,0.376644893130127,0.413286400665105,0.398888300765614,0.429208072131823,0.287894431489145,0.267635146113171,0.309562762688208,0.228946108945971,0.219377346539265,0.240952508535343
"10",2,"luck",0.342720369019081,0.326619439744785,0.362748874526803,0.424778114948263,0.405929347372393,0.447963042321483,0.304307689670655,0.278176330546783,0.338007528169357,0.202947511787565,0.184338641051321,0.225861386779375
"11",3,"anarchy",0.431628401933223,0.410876210430242,0.451429139254517,0.431628401933223,0.410876210430242,0.451429139254517,0.314496101194946,0.284087848142107,0.344789391257093,0.314496101194946,0.284087848142107,0.344789391257093
"12",3,"tax",0.329340202179897,0.30391029316969,0.349417579176997,0.419478938970546,0.39562546179918,0.436294439803212,0.299501142142042,0.267690691403005,0.322352545059999,0.187703561905904,0.162810089895519,0.207915206964361
"13",3,"ubi",0.362812920858475,0.34888527548122,0.372734798931025,0.410788110928558,0.394102886591142,0.425493321609307,0.285060493896436,0.26217845928707,0.306477023588488,0.222881660335464,0.205977509187641,0.236107353866639
"14",3,"effort",0.34999383615463,0.341475714706704,0.364612927849714,0.398172354898862,0.37639627876011,0.41990491564371,0.267637291861365,0.241061759260975,0.296448076220229,0.210223785770662,0.199897563962214,0.227645379608073
"15",3,"luck",0.349016007403511,0.341788427341441,0.360446125163453,0.419260383279466,0.398377849965973,0.43702955691539,0.298018704303316,0.271272822749582,0.321188388369973,0.209485710530664,0.201199587021925,0.222751130013457
"16",4,"anarchy",0.425322017995763,0.407474503056634,0.437630812893903,0.425322017995763,0.407474503056634,0.437630812893903,0.306859567733244,0.280611270875006,0.324463030976288,0.306859567733244,0.280611270875006,0.324463030976288
"17",4,"tax",0.328595529869105,0.305476795143742,0.348400949365749,0.40993537590391,0.382521552024734,0.431875851791285,0.283480609710272,0.248640563432337,0.313629580330464,0.183597805596725,0.160316275728819,0.204534848818513
"18",4,"ubi",0.37490295870197,0.361736910819415,0.39384140147278,0.42239779116364,0.408897133734071,0.442013678982557,0.301728951434896,0.28199011171857,0.330404614645603,0.23731834063374,0.221056212780592,0.260999110924873
"19",4,"effort",0.371598929173819,0.350417863113346,0.387240490165576,0.4202658856263,0.3991527603468,0.435562980342652,0.298115610214943,0.26969648677825,0.318899183562972,0.235875818739516,0.211351616616637,0.254620240203646
"20",4,"luck",0.332480980190992,0.312343393911963,0.354877284585031,0.395989256111685,0.372625655494153,0.412908830180958,0.266835360123318,0.2377488538782,0.288498745811973,0.191377960828095,0.169127613243153,0.217698512083527
